date,temp_max,temp_min,precipitation_sum,precipitation_probability_max,windspeed_max,windgusts_max,weathercode,city,lat,lng
2026-09-16,25.8,21.1,0.0,0,15.4,38.5,2,Sale,34.05,-6.8167
2026-09-17,25.8,18.9,0.0,0,12.1,31.3,3,Sale,34.05,-6.8167
2026-09-18,25.6,17.9,0.0,0,13.4,33.8,45,Sale,34.05,-6.8167
2026-09-19,29.1,16.8,0.0,0,12.9,33.1,45,Sale,34.05,-6.8167
2026-09-20,35.5,20.0,0.0,0,11.8,30.6,1,Sale,34.05,-6.8167
2026-09-21,29.9,22.4,0.0,0,12.6,30.2,1,Sale,34.05,-6.8167
2026-09-22,27.5,21.0,0.0,0,10.5,24.8,45,Sale,34.05,-6.8167
2026-09-16,30.5,19.0,0.0,0,17.1,42.8,1,Meknès,33.8833,-5.55
2026-09-17,27.5,17.2,0.0,0,13.7,35.3,3,Meknès,33.8833,-5.55
2026-09-18,29.3,16.2,0.0,0,13.6,34.9,3,Meknès,33.8833,-5.55
2026-09-19,34.1,18.6,0.0,0,11.8,32.4,2,Meknès,33.8833,-5.55
2026-09-20,36.2,20.9,0.0,3,14.8,39.6,2,Meknès,33.8833,-5.55
2026-09-21,35.2,21.1,0.0,0,13.1,37.1,1,Meknès,33.8833,-5.55
2026-09-22,34.3,20.4,0.0,0,13.8,31.3,3,Meknès,33.8833,-5.55
2026-09-16,25.9,21.2,0.0,0,15.4,38.5,2,Rabat,34.0211,-6.8414
2026-09-17,25.9,18.9,0.0,0,12.1,31.3,3,Rabat,34.0211,-6.8414
2026-09-18,25.7,18.0,0.0,0,13.4,33.8,45,Rabat,34.0211,-6.8414
2026-09-19,29.1,16.8,0.0,0,12.9,33.1,45,Rabat,34.0211,-6.8414
2026-09-20,35.6,20.0,0.0,0,11.8,30.6,1,Rabat,34.0211,-6.8414
2026-09-21,30.0,22.4,0.0,0,12.6,30.2,1,Rabat,34.0211,-6.8414
2026-09-22,27.5,21.0,0.0,0,10.5,24.8,45,Rabat,34.0211,-6.8414
2026-09-16,36.4,25.0,0.0,0,15.4,34.6,1,Agadir,30.4214,-9.5831
2026-09-17,28.8,20.5,0.0,0,13.4,37.4,3,Agadir,30.4214,-9.5831
2026-09-18,27.0,20.1,0.0,0,14.1,39.2,2,Agadir,30.4214,-9.5831
2026-09-19,27.7,21.2,0.0,0,11.5,33.8,2,Agadir,30.4214,-9.5831
2026-09-20,27.6,21.1,0.0,0,13.3,36.7,45,Agadir,30.4214,-9.5831
2026-09-21,36.3,23.0,0.0,0,13.5,28.4,3,Agadir,30.4214,-9.5831
2026-09-22,39.6,25.6,0.0,0,13.0,30.2,3,Agadir,30.4214,-9.5831
2026-09-16,26.6,20.9,0.0,0,17.2,41.4,2,Kenitra,34.25,-6.5833
2026-09-17,26.8,18.6,0.0,0,11.5,29.5,3,Kenitra,34.25,-6.5833
2026-09-18,27.2,16.8,0.0,0,14.2,34.9,45,Kenitra,34.25,-6.5833
2026-09-19,33.0,16.4,0.0,0,14.9,39.2,45,Kenitra,34.25,-6.5833
2026-09-20,37.3,22.1,0.0,0,13.6,33.5,3,Kenitra,34.25,-6.5833
2026-09-21,34.6,22.2,0.0,0,12.4,31.2,0,Kenitra,34.25,-6.5833
2026-09-22,29.0,19.4,0.0,0,11.0,25.9,45,Kenitra,34.25,-6.5833
2026-09-16,33.1,15.6,0.0,0,18.7,40.3,3,Oujda-Angad,34.6867,-1.9114
2026-09-17,28.1,15.7,0.0,0,17.2,37.1,3,Oujda-Angad,34.6867,-1.9114
2026-09-18,27.9,16.7,0.0,3,19.6,42.1,45,Oujda-Angad,34.6867,-1.9114
2026-09-19,28.6,18.6,0.0,10,20.7,43.9,45,Oujda-Angad,34.6867,-1.9114
2026-09-20,28.4,18.9,0.0,5,20.6,43.6,45,Oujda-Angad,34.6867,-1.9114
2026-09-21,27.7,19.1,0.3,3,19.8,39.2,45,Oujda-Angad,34.6867,-1.9114
2026-09-22,29.4,18.4,0.0,3,18.0,38.2,45,Oujda-Angad,34.6867,-1.9114
2026-09-16,33.6,18.8,0.0,0,25.9,61.2,3,Tétouan,35.5667,-5.3667
2026-09-17,28.3,15.0,0.0,0,10.6,27.0,3,Tétouan,35.5667,-5.3667
2026-09-18,26.7,18.9,0.0,3,18.1,43.9,3,Tétouan,35.5667,-5.3667
2026-09-19,26.5,22.0,0.0,0,30.8,74.2,2,Tétouan,35.5667,-5.3667
2026-09-20,26.1,22.6,0.0,0,31.3,74.5,2,Tétouan,35.5667,-5.3667
2026-09-21,26.3,22.3,0.0,0,32.4,67.7,2,Tétouan,35.5667,-5.3667
2026-09-22,26.8,21.8,0.0,0,24.6,54.4,2,Tétouan,35.5667,-5.3667
2026-09-16,27.9,21.1,0.0,0,27.4,49.0,2,Safi,32.2833,-9.2333
2026-09-17,25.0,19.6,0.0,0,21.8,39.2,3,Safi,32.2833,-9.2333
2026-09-18,25.9,19.2,0.0,0,22.1,39.2,2,Safi,32.2833,-9.2333
2026-09-19,27.3,18.7,0.0,0,21.5,38.5,2,Safi,32.2833,-9.2333
2026-09-20,26.7,20.1,0.0,0,10.9,20.2,3,Safi,32.2833,-9.2333
2026-09-21,30.1,19.2,0.0,0,10.1,19.4,3,Safi,32.2833,-9.2333
2026-09-22,30.0,18.5,0.0,0,10.6,20.2,45,Safi,32.2833,-9.2333
2026-09-16,34.8,18.9,0.0,0,21.5,34.6,1,Taourirt,34.41,-2.89
2026-09-17,30.2,20.4,0.0,0,26.4,43.2,3,Taourirt,34.41,-2.89
2026-09-18,29.3,19.1,0.0,0,30.0,49.7,45,Taourirt,34.41,-2.89
2026-09-19,29.4,19.7,0.0,0,32.3,54.4,3,Taourirt,34.41,-2.89
2026-09-20,29.3,20.5,0.0,0,28.2,47.9,3,Taourirt,34.41,-2.89
2026-09-21,29.5,20.4,0.0,0,27.2,47.5,3,Taourirt,34.41,-2.89
2026-09-22,31.4,19.8,0.0,0,19.3,32.4,3,Taourirt,34.41,-2.89
2026-09-16,25.6,20.6,0.0,0,15.7,40.0,2,Temara,33.9234,-6.9076
2026-09-17,25.6,18.7,0.0,0,12.2,33.1,3,Temara,33.9234,-6.9076
2026-09-18,25.5,16.9,0.0,0,13.1,33.8,45,Temara,33.9234,-6.9076
2026-09-19,29.0,16.2,0.0,0,12.7,33.1,2,Temara,33.9234,-6.9076
2026-09-20,34.0,19.9,0.0,0,11.8,32.8,2,Temara,33.9234,-6.9076
2026-09-21,29.2,21.6,0.0,0,12.5,26.6,1,Temara,33.9234,-6.9076
2026-09-22,25.7,20.6,0.0,0,10.6,22.3,45,Temara,33.9234,-6.9076
2026-09-16,33.8,22.3,0.0,0,25.9,50.8,0,Laâyoune,27.15,-13.2
2026-09-17,28.1,21.6,0.0,0,32.3,60.5,3,Laâyoune,27.15,-13.2
2026-09-18,28.2,19.3,0.0,2,28.3,55.1,3,Laâyoune,27.15,-13.2
2026-09-19,29.1,18.7,0.0,0,24.7,47.9,3,Laâyoune,27.15,-13.2
2026-09-20,32.3,20.4,0.0,0,21.3,46.1,3,Laâyoune,27.15,-13.2
2026-09-21,37.4,20.1,0.0,1,22.2,46.1,0,Laâyoune,27.15,-13.2
2026-09-22,35.8,21.6,0.0,2,26.2,50.0,1,Laâyoune,27.15,-13.2
2026-09-16,25.1,21.6,0.0,0,18.2,32.8,2,El Jadid,33.2566,-8.5025
2026-09-17,25.4,20.5,0.0,0,15.3,28.1,3,El Jadid,33.2566,-8.5025
2026-09-18,25.1,19.8,0.0,0,19.6,34.6,3,El Jadid,33.2566,-8.5025
2026-09-19,25.8,20.8,0.0,0,17.4,31.3,2,El Jadid,33.2566,-8.5025
2026-09-20,27.5,21.5,0.0,0,14.7,28.8,2,El Jadid,33.2566,-8.5025
2026-09-21,28.2,21.9,0.0,0,13.9,28.4,45,El Jadid,33.2566,-8.5025
2026-09-22,27.5,20.6,0.0,0,11.6,24.1,45,El Jadid,33.2566,-8.5025
2026-09-16,30.6,21.9,0.0,0,19.1,37.1,1,Ait Melloul,30.3342,-9.4972
2026-09-17,27.5,21.2,0.0,0,16.8,33.5,3,Ait Melloul,30.3342,-9.4972
2026-09-18,26.7,20.2,0.0,0,18.5,37.1,2,Ait Melloul,30.3342,-9.4972
2026-09-19,26.6,20.8,0.0,0,18.8,37.1,3,Ait Melloul,30.3342,-9.4972
2026-09-20,27.2,20.6,0.0,0,18.4,38.2,2,Ait Melloul,30.3342,-9.4972
2026-09-21,36.6,20.2,0.0,0,13.5,28.4,45,Ait Melloul,30.3342,-9.4972
2026-09-22,39.9,25.8,0.0,0,13.0,30.2,3,Ait Melloul,30.3342,-9.4972
2026-09-16,33.1,21.9,0.0,0,18.8,39.6,1,Béni Mellal,32.3394,-6.3608
2026-09-17,29.8,19.2,0.0,0,10.4,24.8,3,Béni Mellal,32.3394,-6.3608
2026-09-18,31.6,18.8,0.0,0,9.6,29.2,3,Béni Mellal,32.3394,-6.3608
2026-09-19,35.7,22.1,0.0,0,14.1,34.9,2,Béni Mellal,32.3394,-6.3608
2026-09-20,37.3,24.9,0.0,3,19.8,45.4,3,Béni Mellal,32.3394,-6.3608
2026-09-21,36.5,25.4,0.9,0,19.1,35.6,3,Béni Mellal,32.3394,-6.3608
2026-09-22,36.5,26.1,0.0,0,19.7,36.7,2,Béni Mellal,32.3394,-6.3608
2026-09-16,27.0,20.0,0.0,0,16.1,39.2,45,Bouskoura,33.4489,-7.6486
2026-09-17,26.8,19.0,0.0,0,15.3,38.5,3,Bouskoura,33.4489,-7.6486
2026-09-18,27.1,17.0,0.0,0,16.2,39.2,45,Bouskoura,33.4489,-7.6486
2026-09-19,30.2,18.3,0.0,0,15.4,37.8,45,Bouskoura,33.4489,-7.6486
2026-09-20,34.0,21.4,0.0,0,14.4,37.1,2,Bouskoura,33.4489,-7.6486
2026-09-21,30.7,22.6,0.0,0,12.7,36.0,45,Bouskoura,33.4489,-7.6486
2026-09-22,28.3,20.9,0.0,0,11.5,30.2,45,Bouskoura,33.4489,-7.6486
2026-09-16,32.1,21.8,0.0,0,22.8,38.9,2,Tiznit,29.7,-9.7269
2026-09-17,23.7,19.8,0.0,0,23.0,37.8,3,Tiznit,29.7,-9.7269
2026-09-18,25.7,19.6,0.0,0,21.2,34.9,2,Tiznit,29.7,-9.7269
2026-09-19,28.0,20.2,0.0,0,13.7,24.1,2,Tiznit,29.7,-9.7269
2026-09-20,28.2,20.7,0.0,0,14.3,25.2,1,Tiznit,29.7,-9.7269
2026-09-21,30.2,22.0,0.0,0,14.2,23.8,3,Tiznit,29.7,-9.7269
2026-09-22,36.4,21.9,0.0,0,11.3,25.2,3,Tiznit,29.7,-9.7269
2026-09-16,25.2,20.7,0.0,0,15.5,36.7,2,Mohammedia,33.6833,-7.3833
2026-09-17,25.2,19.4,0.0,0,14.3,33.8,3,Mohammedia,33.6833,-7.3833
2026-09-18,24.4,17.6,0.0,0,13.9,33.5,3,Mohammedia,33.6833,-7.3833
2026-09-19,26.0,17.7,0.0,0,13.4,32.0,45,Mohammedia,33.6833,-7.3833
2026-09-20,29.2,20.3,0.0,0,11.5,28.1,2,Mohammedia,33.6833,-7.3833
2026-09-21,32.3,21.5,0.0,0,16.8,33.8,45,Mohammedia,33.6833,-7.3833
2026-09-22,30.6,21.3,0.0,0,15.4,28.4,45,Mohammedia,33.6833,-7.3833
2026-09-16,31.2,17.9,0.0,0,19.1,35.3,2,Kouribga,32.88,-6.9
2026-09-17,28.5,14.8,0.0,0,19.0,37.4,1,Kouribga,32.88,-6.9
2026-09-18,29.7,15.8,0.0,0,17.8,33.8,3,Kouribga,32.88,-6.9
2026-09-19,34.1,17.6,0.0,0,18.2,37.4,2,Kouribga,32.88,-6.9
2026-09-20,36.9,22.7,0.0,8,13.4,34.2,3,Kouribga,32.88,-6.9
2026-09-21,34.5,22.3,0.6,1,12.7,28.8,3,Kouribga,32.88,-6.9
2026-09-22,34.2,19.7,0.3,0,17.3,39.6,2,Kouribga,32.88,-6.9
2026-09-16,30.4,19.3,0.0,0,18.5,38.2,2,Settat,33.0023,-7.6198
2026-09-17,27.9,17.0,0.0,0,18.8,39.2,2,Settat,33.0023,-7.6198
2026-09-18,29.4,16.4,0.0,0,18.4,38.9,45,Settat,33.0023,-7.6198
2026-09-19,33.4,16.7,0.0,0,17.5,37.1,2,Settat,33.0023,-7.6198
2026-09-20,38.4,21.9,0.3,8,14.6,35.6,3,Settat,33.0023,-7.6198
2026-09-21,35.6,24.2,0.0,1,13.8,28.4,2,Settat,33.0023,-7.6198
2026-09-22,37.0,18.1,0.0,0,18.1,36.0,1,Settat,33.0023,-7.6198
2026-09-16,29.3,19.5,0.0,0,19.0,34.2,2,Barrechid,33.27,-7.5872
2026-09-17,28.0,17.7,0.0,0,18.4,33.1,3,Barrechid,33.27,-7.5872
2026-09-18,29.3,16.8,0.0,0,19.1,34.6,45,Barrechid,33.27,-7.5872
2026-09-19,33.3,16.7,0.0,0,18.0,32.8,45,Barrechid,33.27,-7.5872
2026-09-20,37.9,20.7,0.0,0,21.0,38.9,2,Barrechid,33.27,-7.5872
2026-09-21,34.2,22.6,0.0,0,18.6,33.1,2,Barrechid,33.27,-7.5872
2026-09-22,34.9,19.8,0.0,0,18.2,33.1,45,Barrechid,33.27,-7.5872
2026-09-16,23.8,22.1,0.0,2,35.1,43.9,0,Ad Dakhla,23.7167,-15.95
2026-09-17,22.1,20.3,0.0,0,41.9,53.6,2,Ad Dakhla,23.7167,-15.95
2026-09-18,21.3,20.4,0.0,0,36.4,45.4,0,Ad Dakhla,23.7167,-15.95
2026-09-19,21.0,20.1,0.0,0,30.6,38.5,0,Ad Dakhla,23.7167,-15.95
2026-09-20,21.4,19.6,0.0,0,32.9,43.2,0,Ad Dakhla,23.7167,-15.95
2026-09-21,22.3,19.8,0.0,9,30.0,39.2,1,Ad Dakhla,23.7167,-15.95
2026-09-22,21.9,20.5,0.0,6,27.6,37.1,0,Ad Dakhla,23.7167,-15.95
2026-09-16,29.7,21.6,0.0,0,10.2,25.2,2,Nador,35.1667,-2.9333
2026-09-17,26.4,22.0,0.0,0,14.5,31.7,3,Nador,35.1667,-2.9333
2026-09-18,25.4,21.8,0.1,3,14.8,33.1,3,Nador,35.1667,-2.9333
2026-09-19,25.4,22.7,0.7,0,23.2,50.4,80,Nador,35.1667,-2.9333
2026-09-20,25.1,23.4,3.6,0,21.3,45.0,80,Nador,35.1667,-2.9333
2026-09-21,26.4,22.7,0.75,3,22.2,38.5,3,Nador,35.1667,-2.9333
2026-09-22,27.0,21.2,0.0,0,19.4,34.2,45,Nador,35.1667,-2.9333
2026-09-16,31.1,19.0,0.0,0,24.1,50.4,1,Taza,34.2144,-4.0088
2026-09-17,29.5,17.5,0.0,0,14.4,31.0,3,Taza,34.2144,-4.0088
2026-09-18,29.3,17.9,0.0,0,17.5,36.7,3,Taza,34.2144,-4.0088
2026-09-19,29.1,19.1,0.0,0,23.8,49.3,3,Taza,34.2144,-4.0088
2026-09-20,29.3,19.9,0.0,0,23.6,49.3,3,Taza,34.2144,-4.0088
2026-09-21,29.2,19.7,0.0,0,22.0,42.3,2,Taza,34.2144,-4.0088
2026-09-22,31.7,18.5,0.0,0,10.9,23.0,2,Taza,34.2144,-4.0088
2026-09-16,31.9,22.3,0.0,0,10.9,31.0,45,Inezgane,30.3658,-9.5381
2026-09-17,27.1,20.6,0.0,0,13.3,38.2,3,Inezgane,30.3658,-9.5381
2026-09-18,25.5,19.8,0.0,0,14.1,40.3,2,Inezgane,30.3658,-9.5381
2026-09-19,25.6,20.6,0.0,0,13.3,38.2,3,Inezgane,30.3658,-9.5381
2026-09-20,26.0,19.9,0.0,0,13.8,40.0,45,Inezgane,30.3658,-9.5381
2026-09-21,36.6,20.4,0.0,0,13.5,28.4,3,Inezgane,30.3658,-9.5381
2026-09-22,39.9,25.9,0.0,0,13.0,30.2,3,Inezgane,30.3658,-9.5381
2026-09-16,26.4,18.0,0.0,0,18.2,34.2,3,Larache,35.1833,-6.15
2026-09-17,26.1,17.9,0.0,0,12.9,24.1,3,Larache,35.1833,-6.15
2026-09-18,26.7,15.1,0.0,0,17.4,33.8,45,Larache,35.1833,-6.15
2026-09-19,34.2,17.2,0.0,0,18.4,35.3,1,Larache,35.1833,-6.15
2026-09-20,37.6,21.9,0.0,0,16.6,33.1,1,Larache,35.1833,-6.15
2026-09-21,33.8,20.9,0.0,0,12.6,23.8,0,Larache,35.1833,-6.15
2026-09-22,33.0,18.7,0.0,0,15.0,28.1,1,Larache,35.1833,-6.15
2026-09-16,31.4,17.9,0.0,0,20.0,40.7,2,Al Khmissat,33.81,-6.06
2026-09-17,28.5,16.3,0.0,0,15.0,31.3,45,Al Khmissat,33.81,-6.06
2026-09-18,29.7,15.9,0.0,0,15.6,32.8,3,Al Khmissat,33.81,-6.06
2026-09-19,34.7,17.7,0.0,0,13.3,27.7,2,Al Khmissat,33.81,-6.06
2026-09-20,38.0,20.5,0.0,5,17.2,38.5,3,Al Khmissat,33.81,-6.06
2026-09-21,37.0,21.3,0.0,3,16.3,31.7,1,Al Khmissat,33.81,-6.06
2026-09-22,35.6,17.9,0.0,3,15.1,30.2,3,Al Khmissat,33.81,-6.06
2026-09-16,34.7,20.9,0.0,0,27.7,45.7,1,Guelmim,28.9833,-10.0667
2026-09-17,24.3,18.8,0.0,0,28.8,48.2,3,Guelmim,28.9833,-10.0667
2026-09-18,27.0,17.5,0.0,0,22.6,40.7,2,Guelmim,28.9833,-10.0667
2026-09-19,30.2,18.3,0.0,0,19.6,35.3,3,Guelmim,28.9833,-10.0667
2026-09-20,34.4,17.6,0.0,0,19.8,37.1,1,Guelmim,28.9833,-10.0667
2026-09-21,39.2,22.2,0.0,0,18.5,36.7,1,Guelmim,28.9833,-10.0667
2026-09-22,38.6,23.8,0.0,0,19.0,38.9,0,Guelmim,28.9833,-10.0667
2026-09-16,29.6,19.7,0.0,0,16.8,32.4,3,Ksar El Kebir,35.0,-5.9
2026-09-17,28.8,19.0,0.0,0,15.3,28.8,3,Ksar El Kebir,35.0,-5.9
2026-09-18,30.4,16.5,0.0,0,18.8,36.0,45,Ksar El Kebir,35.0,-5.9
2026-09-19,35.5,18.0,0.0,0,13.8,27.4,45,Ksar El Kebir,35.0,-5.9
2026-09-20,38.3,21.5,0.0,0,8.2,20.9,1,Ksar El Kebir,35.0,-5.9
2026-09-21,37.1,21.7,0.0,0,11.5,25.2,0,Ksar El Kebir,35.0,-5.9
2026-09-22,36.0,20.7,0.0,0,12.0,24.8,1,Ksar El Kebir,35.0,-5.9
2026-09-16,31.5,16.1,0.0,0,16.5,32.0,1,Khénifra,32.93,-5.66
2026-09-17,31.9,15.9,0.0,0,17.8,33.1,2,Khénifra,32.93,-5.66
2026-09-18,31.7,15.5,0.0,0,18.4,33.5,3,Khénifra,32.93,-5.66
2026-09-19,34.5,17.8,0.0,3,15.8,32.0,3,Khénifra,32.93,-5.66
2026-09-20,36.2,21.4,0.0,13,15.3,40.3,3,Khénifra,32.93,-5.66
2026-09-21,35.2,19.7,0.0,5,19.5,46.1,3,Khénifra,32.93,-5.66
2026-09-22,33.7,20.1,0.0,5,17.0,31.3,2,Khénifra,32.93,-5.66
2026-09-16,24.8,20.7,0.0,0,16.3,36.0,2,Skhirate,33.85,-7.03
2026-09-17,24.5,18.8,0.0,0,12.9,29.2,3,Skhirate,33.85,-7.03
2026-09-18,24.2,17.4,0.0,0,14.5,31.7,3,Skhirate,33.85,-7.03
2026-09-19,26.3,16.7,0.0,0,13.3,28.8,2,Skhirate,33.85,-7.03
2026-09-20,29.7,19.7,0.0,0,12.1,27.4,2,Skhirate,33.85,-7.03
2026-09-21,27.6,20.8,0.0,0,12.5,26.6,1,Skhirate,33.85,-7.03
2026-09-22,25.8,20.7,0.0,0,10.6,22.3,45,Skhirate,33.85,-7.03
2026-09-16,26.5,19.4,0.0,0,19.1,34.9,2,Beni Yakhlef,33.6555,-7.3221
2026-09-17,26.5,18.4,0.0,0,17.6,32.4,3,Beni Yakhlef,33.6555,-7.3221
2026-09-18,26.2,16.1,0.0,0,18.3,33.5,45,Beni Yakhlef,33.6555,-7.3221
2026-09-19,29.0,16.3,0.0,0,17.5,32.4,45,Beni Yakhlef,33.6555,-7.3221
2026-09-20,32.8,19.9,0.0,0,16.2,29.9,2,Beni Yakhlef,33.6555,-7.3221
2026-09-21,32.1,21.4,0.0,0,16.8,33.8,45,Beni Yakhlef,33.6555,-7.3221
2026-09-22,30.0,20.8,0.0,0,15.4,28.4,45,Beni Yakhlef,33.6555,-7.3221
2026-09-16,27.5,18.5,0.0,0,21.0,42.1,2,Sidi Yahya Zaer,33.7105,-6.8831
2026-09-17,26.9,16.2,0.0,0,17.1,34.2,45,Sidi Yahya Zaer,33.7105,-6.8831
2026-09-18,27.8,15.7,0.0,0,16.6,33.8,45,Sidi Yahya Zaer,33.7105,-6.8831
2026-09-19,32.3,16.3,0.0,0,16.5,33.5,2,Sidi Yahya Zaer,33.7105,-6.8831
2026-09-20,37.3,20.5,0.0,0,20.6,40.7,2,Sidi Yahya Zaer,33.7105,-6.8831
2026-09-21,34.1,21.6,0.0,0,17.9,36.7,1,Sidi Yahya Zaer,33.7105,-6.8831
2026-09-22,32.7,18.0,0.0,0,15.0,30.6,3,Sidi Yahya Zaer,33.7105,-6.8831
2026-09-16,33.1,19.8,0.0,0,21.0,40.7,2,Ben Guerir,32.23,-7.95
2026-09-17,28.9,16.7,0.0,0,17.3,34.9,3,Ben Guerir,32.23,-7.95
2026-09-18,30.3,16.4,0.0,0,16.3,33.1,2,Ben Guerir,32.23,-7.95
2026-09-19,34.3,18.1,0.0,0,16.9,34.6,2,Ben Guerir,32.23,-7.95
2026-09-20,38.2,24.4,0.3,10,13.2,27.0,3,Ben Guerir,32.23,-7.95
2026-09-21,36.4,24.7,0.0,1,18.1,32.0,3,Ben Guerir,32.23,-7.95
2026-09-22,37.0,21.8,0.0,0,21.5,39.2,3,Ben Guerir,32.23,-7.95
2026-09-16,32.1,22.3,0.0,0,25.4,41.0,1,Ait Ali,30.1739,-9.4881
2026-09-17,26.9,20.8,0.0,0,25.2,41.0,3,Ait Ali,30.1739,-9.4881
2026-09-18,26.8,19.9,0.0,0,23.2,37.4,2,Ait Ali,30.1739,-9.4881
2026-09-19,26.9,20.6,0.0,0,20.2,32.8,3,Ait Ali,30.1739,-9.4881
2026-09-20,27.5,20.6,0.0,0,19.2,33.8,2,Ait Ali,30.1739,-9.4881
2026-09-21,32.3,20.6,0.0,0,17.8,31.0,3,Ait Ali,30.1739,-9.4881
2026-09-22,38.1,22.6,0.0,0,17.7,32.0,3,Ait Ali,30.1739,-9.4881
2026-09-16,31.7,22.8,0.0,0,16.6,34.9,45,My Drarga,30.3805,-9.4763
2026-09-17,27.9,20.6,0.0,0,17.6,38.5,3,My Drarga,30.3805,-9.4763
2026-09-18,26.8,19.8,0.0,0,18.4,40.3,2,My Drarga,30.3805,-9.4763
2026-09-19,27.3,20.6,0.0,0,15.7,35.3,3,My Drarga,30.3805,-9.4763
2026-09-20,27.5,20.5,0.0,0,16.6,38.2,45,My Drarga,30.3805,-9.4763
2026-09-21,36.5,21.2,0.0,0,13.5,28.4,3,My Drarga,30.3805,-9.4763
2026-09-22,39.8,25.7,0.0,0,13.0,30.2,3,My Drarga,30.3805,-9.4763
2026-09-16,32.3,21.7,0.0,0,22.0,45.4,1,Lqoliaa,30.2942,-9.4544
2026-09-17,27.8,20.9,0.0,0,18.4,40.0,3,Lqoliaa,30.2942,-9.4544
2026-09-18,27.6,19.9,0.0,0,19.6,42.5,2,Lqoliaa,30.2942,-9.4544
2026-09-19,27.5,20.6,0.0,0,19.5,42.5,3,Lqoliaa,30.2942,-9.4544
2026-09-20,27.9,20.3,0.0,0,19.5,44.3,2,Lqoliaa,30.2942,-9.4544
2026-09-21,31.2,19.8,0.0,0,16.2,37.1,45,Lqoliaa,30.2942,-9.4544
2026-09-22,38.5,21.2,0.0,0,16.0,35.6,3,Lqoliaa,30.2942,-9.4544
2026-09-16,34.2,20.7,0.0,0,20.3,34.6,1,El Kelaa des Srarhna,32.05,-7.4
2026-09-17,30.2,17.6,0.0,0,16.6,28.4,3,El Kelaa des Srarhna,32.05,-7.4
2026-09-18,31.3,17.8,0.0,0,13.8,24.1,3,El Kelaa des Srarhna,32.05,-7.4
2026-09-19,35.4,19.3,0.0,0,17.7,30.2,2,El Kelaa des Srarhna,32.05,-7.4
2026-09-20,39.0,22.9,0.3,18,19.1,30.6,3,El Kelaa des Srarhna,32.05,-7.4
2026-09-21,34.9,23.2,0.3,7,12.7,23.8,3,El Kelaa des Srarhna,32.05,-7.4
2026-09-22,37.0,20.0,0.0,3,19.9,33.5,3,El Kelaa des Srarhna,32.05,-7.4
2026-09-16,25.9,21.5,0.0,0,20.3,31.7,45,Moulay Abdallah,33.1978,-8.5883
2026-09-17,26.1,20.2,0.0,0,17.1,27.0,3,Moulay Abdallah,33.1978,-8.5883
